  20,857,169 attempts |   277 sec | 75,296 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,929,810 attempts |   278 sec | 75,286 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,003,113 attempts |   279 sec | 75,279 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,075,766 attempts |   280 sec | 75,270 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,148,212 attempts |   281 sec | 75,260 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,220,549 attempts |   282 sec | 75,250 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,294,017 attempts |   283 sec | 75,243 attempts / sec |  76 solutions found | searching for (1,0,3)
  21,367,469 attempts |   284 sec | 75,237 attempts / sec |  78 solutions found | searching for (1,0,3)
  21,441,814 attempts |   285 sec | 75,234 attempts / sec |  78 solutions found | searching for (1,0,3)
  21,515,928 attempts |   286 sec | 75,230 attempts / sec |  78 solutions found | searching for (1,0,3)
  21,589,197 attempts |   287 sec | 75,223 attempts / sec |  80 solutions found | searching for (1,0,3)
  21,658,439 attempts |   288 sec | 75,202 attempts / sec |  80 solutions found | searching for (1,1,0)
  21,730,658 attempts |   289 sec | 75,192 attempts / sec |  80 solutions found | searching for (1,1,3)
  21,801,916 attempts |   290 sec | 75,178 attempts / sec |  80 solutions found | searching for (1,2,0)
  21,872,398 attempts |   291 sec | 75,162 attempts / sec |  80 solutions found | searching for (1,2,0)
  21,943,503 attempts |   292 sec | 75,148 attempts / sec |  80 solutions found | searching for (1,2,3)
